Id. RCE,NAF,Raison sociale,Enseigne,Tranche effectif (INSEE),Effectif ACOSS (ou recueilli),Adresse principale,Code postal,Commune acheminement postal
3778323,7010Z,MC DONALD S GRENOBLE RESTAURANTS,MAC DO RESTAURANT,1 OU 2 SALARIES,1,33 RUE DE LA MARITELLE,38320,BRESSON
29388985,7010Z,CAELI,,SANS SALARIE,0,LIEU DIT ARVEY,73190,PUYGROS
25290684,7010Z,L HUITRIER DU CHATEAU,,3 A 5 SALARIES,3,3 PLACE PRESIDENT CARNOT,38300,BOURGOIN JALLIEU
27271181,7010Z,M J S   CIE,centre SPEEDY Chambery,SANS SALARIE,0,3 AVENUE DE LYON,73000,CHAMBERY
29514167,7010Z,D AILLEURS ET D AUTRE PART,,SANS SALARIE,0,11 CHEMIN DE L INDUSTRIE,69570,DARDILLY
26727782,7010Z,CARMELINA,,1 OU 2 SALARIES,1,1328 RUE ARISTIDE BERGES,38430,MOIRANS
28411010,7010Z,APIALES,,SANS SALARIE,0,11 RUE LAURENCIN,69002,LYON
28707276,7010Z,ANN C COIFFURE,,SANS SALARIE,0,6 RUE SIMON ROYER,42600,MONTBRISON
30735679,7010Z,LES CHOUCHOUS,,SANS SALARIE,0,30 RUE CLAUDE JOSEPH BONNET,69004,LYON
4116111,7010Z,AKKA TECHNOLOGIES,AKKA,20 A 49 SALARIES,20,21 RUE ANTONIN LABORDE,69009,LYON CEDEX 09
13008415,7010Z,DALERY FINANCES,,SANS SALARIE,0,RUE DE L ONDAINE,42500,LE CHAMBON FEUGEROLLES
27585329,7010Z,RAS 410,,SANS SALARIE,0,10 RUE JEAN MARCUIT,69009,LYON
12706842,7010Z,PAYANT MTP,,SANS SALARIE,0,45 ROUTE DE SAVOIE,38420,DOMENE
21934544,7010Z,COMPAGNIE EUROPEENNE DES BAINS,VALVITAL,20 A 49 SALARIES,20,PLACE MAURICE MOLLARD,73100,AIX LES BAINS
4989820,7010Z,EUROCALL PARTNERS,EUROCALL PARTNERS,20 A 49 SALARIES,20,19 RUE LOUIS GUERIN IMM THOR,69100,VILLEURBANNE
26039534,7010Z,AUTO SHOP   SERVICES,A S S LIEU-DIT LE MAS,10 A 19 SALARIES,10,1147 ROUTE DE LYON,7430,DAVEZIEUX
29771084,7010Z,CAFE DE LA BOURSE,,SANS SALARIE,0,653 QUARTIER PONT NEUF,26790,TULETTE
19196935,7010Z,PERRENOT SALON DE PROVENCE,PERRENOT SALON DE PROVENCE,SANS SALARIE,0,ROUTE DE ROMANS,26260,ST DONAT SUR L HERBASSE
26850292,7010Z,ARC EN CIEL,,SANS SALARIE,0,14 RUE PAUL BOURGET,38100,GRENOBLE
30653330,7010Z,AUX PECHES MIGNONS,,SANS SALARIE,0,40B QUAI JOSEPH GILLET,69004,LYON
29951490,7010Z,CONTROLE TECHNIQUE APPRIEU,,SANS SALARIE,0,100 ROUTE DE RIVES,38140,APPRIEU
24886790,7010Z,MAVANA,,3 A 5 SALARIES,3,165 ROUTE NATIONALE 7,38150,SALAISE SUR SANNE
25495872,7010Z,LES DEUX COMPTOIRS,,1 OU 2 SALARIES,1,rue centrale,7190,MARCOLS LES EAUX
18808305,7010Z,SWISS INTERIM TTF SA,,10 A 19 SALARIES,10,,1700,FRIBOURG
22642123,7010Z,ABML,ANGE BOULANGERIE,SANS SALARIE,6,9 RUE DU PETIT CLORA,63400,CHAMALIERES
25269724,7010Z,ABJL,,6 A 9 SALARIES,6,,63200,MENETROL
31105715,7010Z,AROMATIC,,SANS SALARIE,0,15 RUE DU CHARIOT D OR,69004,LYON
22168153,7010Z,PICKLES COMPANY,,3 A 5 SALARIES,3,ROND POINT DES PISTES,73320,TIGNES
24206075,7010Z,LES ASSOCIES DE DECEMBRE,,1 OU 2 SALARIES,1,ALL DES FRENES SAULZET LE CHAUD,63540,ROMAGNAT
24435217,7010Z,AT2S,SARL,1 OU 2 SALARIES,1,DU 15 SEPTEMBRE,15290,LE ROUGET PERS
16426189,7010Z,DUCRETTET CHARPENTE CHALETS,,SANS SALARIE,0,279 ROUTE DE GIBANNAZ,74260,LES GETS
27122405,7010Z,ETER GASTRONOMIE,,SANS SALARIE,0,19 ROUTE DE LA CASCADE,73000,JACOB BELLECOMBETTE
12810959,7010Z,MD OPTIQUE,,1 OU 2 SALARIES,1,44 RUE DE L HOTEL DE VILLE,38260,LA COTE ST ANDRE
1317271,7010Z,VOYAGES AUCHAN,,3 A 5 SALARIES,0,24 AVENUE RENE CASSIN,69009,LYON
24425877,7010Z,LOCAVI  SAS,,SANS SALARIE,0,40 AVENUE DE LA DEPORTATION,26100,ROMANS SUR ISERE
27921552,7010Z,NATTEO,,SANS SALARIE,0,680 RUE JULIETTE RECAMIER,69970,CHAPONNAY
29853178,7010Z,AUDREY MICRO CRECHE,,SANS SALARIE,0,12 CHEMIN DE REDON,63122,CEYRAT
1104906,7010Z,CAPPA CTRE ADAPT PROF ARTISANAT,CAPPA,SANS SALARIE,0,DOMAINE DU MARAND,63450,ST AMANT TALLENDE
11101080,7010Z,VULCAIN,,3 A 5 SALARIES,3,10 QUAI GENERAL SARRAIL,69006,LYON
28830566,7010Z,LOUANCE,LOUANCE,,0,LIEU DIT ARCHINAUD,43150,CHADRON
26778422,7010Z,SNOW AND SKI-VALMEINIER 1900,LIEUDIT LES CHARBONNIERES,SANS SALARIE,0,ROUTE DU TELEGRAPHE,73450,VALLOIRE
15493131,7010Z,ARCHES ALPINS,ARCHES ALPINS (SIEGE),SANS SALARIE,0,1155 RUE COMMANDANT DUBOIS,73200,ALBERTVILLE
28031351,7010Z,ALMI RESTAURANT,,SANS SALARIE,0,5 RUE DU PALAIS,1600,TREVOUX
2536791,7010Z,AUTOCARS THEVENET,,6 A 9 SALARIES,6,47 RUE MARCELLIN CHAMPAGNAT,42400,ST CHAMOND
24080765,7010Z,AUTO CONTROLE SAINT GENEST,,1 OU 2 SALARIES,1,IMPASSE DU PUITS DU CRET,42530,ST GENEST LERPT
12473977,7010Z,BALDUCCI joseph,,,0,38 AVENUE MARECHAL RANDON,38000,GRENOBLE
25685865,7010Z,SARL AUTO ECOLE JUMEL,,SANS SALARIE,0,239 AVENUE CHARLES DE GAULLE,69830,ST GEORGES DE RENEINS
4711798,7010Z,AUTONOMIE ET SANTE,AUTONOMIE ET SANTE,6 A 9 SALARIES,6,5 RUE BARROUIN,42000,ST ETIENNE
3226798,7010Z,CTRE INTERREG FORMATION ALTER PLASTURG,CIRFAP LYON 3EME,SANS SALARIE,0,9 RUE DU BOIS JOLI,63800,COURNON D AUVERGNE
32706761,7010Z,CUISINE MOUTARDE,,SANS SALARIE,0,RUE ERNEST CRISTAL,63000,CLERMONT FERRAND
